9.75	10	8.2	10	8	10	10	10	9.5	10		8
9.9	9	6.6	10	10	10	10	10	9.5	9.5	9	9
9.75	10	9.2	10	10	7.5	10	10	10	10	10	9
10	10	7.6	10	10	10	10	10	10	10	6.25	8
9.75	10	9.8	10	10	10	9.5	10	8.5		10	10
9.5	10	8.2	8	10	8	10	8	9.5	10	4.25	9
10	10	8.9	10	8	9	10	10	10	10	10	8.5
10	10	8.4	10	10	10	10	10	10	10	10	8
10	10	9.2	10	10	9.8	10	10	10	10	10	8.5
9.8	10	10	10	10		10	10	10	10	7.25	7
9.6	10	8.4	10	10	9	10	10		7.5	10	9.8
10	10	8.8	10	10	10	10	10	10	10	10	10
9.9	10	6.8	10	10	10	10	10	10	7	10	10
10	10	9.9	10	10	10	10	10	10	10	10	10
9.4	8.8	8	10	10	8.5	10	10	10	9.5	8	9.5
10	10	5.6	9	10	10	10	10	10	10	10	9
9.75	10	9.9	10	10	10	10	10	10	10	10	10
8.85	9.6	9.4	9	8	10	10	10	10			
10	10	8	10	10	9.5	10	10	10	10	10	10
9.45	10	7.6	10	10	10	10	10	10	10	10	10
9	10	9.9	10	10	10	10					
											
10	10	10	10	10	10	10	10	9.75	10	10	10
9.75	9.2	9.9	10	10	10	10	10	9	10	10	9.5
9.75	10	9.8	10	10	10	10	10	10	10		10
9.75	10	9.8	10	10	10	10	10	10	10	10	10
10	9.2	9.8	4.5	10	10	10	10	10	10	9.7	10
10	10	9.2	10	10	10	10	10	8.5	10	10	7.5
9.7	10	9.2	10	8	10	10	9.8	8	9	7	7
10	9.8	8.4	10	10	10	9.5	10	8	10	10	8.5
10	10	7.2	10	10	10	10	10	10	10	10	9
10	10	9	9	10	9	10	10	0	6	9.5	8.5
10	10	9.8	9	10	10	10	10	10	10	10	10
5		3.1	5	5	10	10	10	9	9.5	10	8
9.8	10	7.3	10	10	10	10	10	10	10	10	10
10	4.8	8.1	10	10	9	10		10	10	10	10
8.4	10	9.9	10	10	10	10		8	10	10	8.5
10	9.2	9.1	10	10	10	10	10	10	10	9.9	10
10	10	8.3	10	10	10	10		9	10	10	10
10	9	9.4	10	10	10	10	10	10	9	10	8
9.5	10	8.6	10	10	10	10	10	10		9.7	8
9.9	10	9	10	10	10	10	10	10	10	10	10
10	10	8.5	10	10	10	10	10	10	10	9.7	9.5
9.5	10	9.2	9.5	10	10	10	10	10	10	10	9.5
8.05	9.2	7.1	10	10	10	10	10	10	10	10	8
10	10	9.7	10	10	10	10	10	10	10	10	9
10	10	7.7	10	10	10	10	10	10	10	10	10
10	10	9.9	10	10	10	10	10	10	10	7.5	9.8
10	10	10	10	10	10	10	10	10	10	10	9
10	5.6	9.7	9	10	9	10	9.8	10	10	10	9
5		3.1	5	5	10	10	10	9.5	9.5	10	8
10	10	9.6	10	10	8	10	10	10	10	10	9
10	10	9.6	10	10	8	10	10	10		10	
10	10	10	10	10	10	10	10	10	10	10	10
10	9.6	9.9	10	10	10	10	10	10	10	9.7	9.5
